rowid,toi,toipfx,tid,ctoi_alias,pl_pnum,tfopwg_disp,rastr,ra,raerr1,raerr2,decstr,dec,decerr1,decerr2,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmrasymerr,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,st_pmdecsymerr,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_tranmidsymerr,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbpersymerr,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandurhsymerr,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandepsymerr,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radesymerr,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_insolsymerr,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_eqtsymerr,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_tmagsymerr,st_dist,st_disterr1,st_disterr2,st_distlim,st_distsymerr,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffsymerr,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_loggsymerr,st_rad,st_raderr1,st_raderr2,st_radlim,st_radsymerr,toi_created,rowupdate
410,1344.01,1344,1400770435,1400770435,1,FP,17h39m50.77s,264.961539,,,+56d04m44.31s,56.078974,,,-4.979,0.038,-0.038,0,1,13.371,0.041,-0.041,0,1,2460390.488,0.002554,-0.002554,0,1,13.7431355,0.0000429,-0.0000429,0,1,2.418,0.39,-0.39,0,1,4769,7363.61,-7363.61,0,1,25.3448,3.44609,-3.44609,0,1,109.729,,,,,901,,,,,8.88797,0.006,-0.006,0,1,121.182,0.27,-0.27,0,1,5941.5,161.9,-161.9,0,1,4.23,0.08,-0.08,0,1,1.4,0.01,-0.01,0,1,2019/10/30 21:47,2024/5/17 10:08
411,1345.01,1345,160487753,160487753,1,PC,15h52m07.63s,238.031812,,,+74d24m24.27s,74.406742,,,0.719,0.036,-0.036,0,1,11.14,0.035,-0.035,0,1,2458715.459,0.01811,-0.01811,0,1,8.47134,0.00488,-0.00488,0,1,6.989,1.941,-1.941,0,1,540,185.819,-185.819,0,1,16.9325,,,0,1,3465.35,,,,,2137,,,,,10.8049,0.007,-0.007,0,1,788.93,11.542,-11.542,0,1,5146,122,-122,0,1,,,,0,1,4.88,,,0,1,2019/10/30 21:47,2021/10/29 12:59
412,1346.01,1346,219852882,219852882,1,PC,17h06m29.44s,256.622675,,,+68d50m35.89s,68.843303,,,-20.12,0.04,-0.04,0,1,89.886,0.043,-0.043,0,1,2459766.225,0.002301,-0.002301,0,1,5.5025577,0.0000152,-0.0000152,0,1,3.1711008,0.1456203,-0.1456203,0,1,844.7022676,47.17633,-47.17633,0,1,2.7049797,0.2077039,-0.2077039,0,1,102.6644008,,,,,811.847988,,,,,10.7261,0.006,-0.006,0,1,115.45,0.322,-0.322,0,1,4965,124,-124,0,1,4.56,0.09,-0.09,0,1,0.784109,0.0494724,-0.0494724,0,1,2019/10/30 21:47,2023/3/15 10:10
413,1346.02,1346,219852882,219852882,2,PC,17h06m29.44s,256.622675,,,+68d50m35.89s,68.843303,,,-20.12,0.04,-0.04,0,1,89.886,0.043,-0.043,0,1,2459741.887,0.00152,-0.00152,0,1,1.7622537,0.0000046,-0.0000046,0,1,0.8779711,0.0945792,-0.0945792,0,1,733.5550822,44.17279,-44.17279,0,1,2.5235818,0.282786,-0.282786,0,1,468.5415425,,,,,1186.606643,,,,,10.7261,0.006,-0.006,0,1,115.45,0.322,-0.322,0,1,4965,124,-124,0,1,4.56,0.09,-0.09,0,1,0.784109,0.0494724,-0.0494724,0,1,2020/2/21 21:35,2023/3/15 10:10
414,1347.01,1347,229747848,229747848,1,PC,18h41m18.4s,280.326681,,,+70d17m24.19s,70.290054,,,-6.335,0.11,-0.11,0,1,26.221,0.078,-0.078,0,1,2459664.027,0.000736,-0.000736,0,1,0.8474218,0.0000048,-0.0000048,0,1,0.8758764,0.1150393,-0.1150393,0,1,424.3932848,29.129574,-29.129574,0,1,1.7536544,1.371646,-1.371646,0,1,1876.131549,,,,,1678.554981,,,,,10.7157,0.007,-0.007,0,1,147.476,1.0425,-1.0425,0,1,5300,143.2,-143.2,0,1,4.56,0.08,-0.08,0,1,0.846387,0.0434397,-0.0434397,0,1,2019/10/30 21:47,2023/5/19 16:02
415,1347.02,1347,229747848,229747848,2,PC,18h41m18.4s,280.326681,,,+70d17m24.19s,70.290054,,,-6.335,0.11,-0.11,0,1,26.221,0.078,-0.078,0,1,2459656.583,0.007605,-0.007605,0,1,4.8420438,0.0000167,-0.0000167,0,1,2.4105648,0.2969602,-0.2969602,0,1,318.6638392,31.045536,-31.045536,0,1,1.6177405,0.6245401,-0.6245401,0,1,183.6641995,,,,,938.9141348,,,,,10.7157,0.007,-0.007,0,1,147.476,1.0425,-1.0425,0,1,5300,143.2,-143.2,0,1,4.56,0.08,-0.08,0,1,0.846387,0.0434397,-0.0434397,0,1,2020/7/16 4:56,2023/5/19 16:02
416,1348.01,1348,229770036,229770036,1,FP,18h48m41.61s,282.173361,,,+70d50m24.69s,70.840191,,,-63.053,0.074,-0.074,0,1,114.601,0.093,-0.093,0,1,2458684.502,0.00575,-0.00575,0,1,2.14056,0.00023,-0.00023,0,1,2.029,0.369,-0.369,0,1,355.8315803,34.70787,-34.70787,0,1,1.83828,0.167472,-0.167472,0,1,316.156,,,,,1174,,,,,10.6666,0.006,-0.006,0,1,101.713,0.5015,-0.5015,0,1,4567,143.3,-143.3,0,1,4.39,0.1,-0.1,0,1,0.84,0.05,-0.05,0,1,2019/10/30 21:47,2021/10/29 12:59
417,1349.01,1349,272635712,272635712,1,APC,15h24m38.91s,231.162129,,,+67d27m53.1s,67.464751,,,23.918,0.127,-0.127,0,1,-46.859,0.131,-0.131,0,1,2458693.574,0.00871,-0.00871,0,1,12.71672,0.00223,-0.00223,0,1,2.529,0.466,-0.466,0,1,388.126,1.60411,-1.60411,0,1,2.7546,0.37246,-0.37246,0,1,34.1387,,,,,673,,,,,9.34822,0.006,-0.006,0,1,130.242,1.246,-1.246,0,1,5711.1,365,-365,0,1,4.24,0.07,-0.07,0,1,1.27,0.15,-0.15,0,1,2019/10/30 21:47,2022/7/20 12:03
418,135.01,135,267263253,267263253,1,CP,00h29m18.94s,7.328916,,,-76d18m14.52s,-76.304032,,,-2.97,0.037,-0.037,0,1,6.961,0.031,-0.031,0,1,2460174.637,0.000188,-0.000188,0,1,4.1269046,0.0000008,-0.0000008,0,1,4.405,0.016,-0.016,0,1,10831,34.3442,-34.3442,0,1,17.0952,0.698036,-0.698036,0,1,1436.49,,,,,1715,,,,,9.2205,0.006,-0.006,0,1,196.852,0.774,-0.774,0,1,6888,204,-204,0,1,4.23416,0.355654,-0.355654,0,1,1.59,0.06,-0.06,0,1,2018/9/5 18:51,2023/11/16 16:02
419,1350.01,1350,233953967,233953967,1,PC,20h21m34.84s,305.395161,,,+56d27m45.56s,56.462656,,,5.775,0.041,-0.041,0,1,6.967,0.041,-0.041,0,1,2459851.288,0.002676,-0.002676,0,1,5.5402372,0.0000334,-0.0000334,0,1,7.713,0.605,-0.605,0,1,2710,91.5963,-91.5963,0,1,17.4013,0.874591,-0.874591,0,1,2282.41,,,,,1925,,,,,10.3589,0.006,-0.006,0,1,598.635,7.655,-7.655,0,1,6415,152.8,-152.8,0,1,3.49,0.09,-0.09,0,1,3.39,0.15,-0.15,0,1,2019/10/30 21:47,2023/2/6 16:02
