,rowid,toi,toipfx,tid,ctoi_alias,pl_pnum,tfopwg_disp,rastr,ra,raerr1,raerr2,decstr,dec,decerr1,decerr2,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmrasymerr,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,st_pmdecsymerr,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_tranmidsymerr,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbpersymerr,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandurhsymerr,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandepsymerr,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radesymerr,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_insolsymerr,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_eqtsymerr,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_tmagsymerr,st_dist,st_disterr1,st_disterr2,st_distlim,st_distsymerr,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffsymerr,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_loggsymerr,st_rad,st_raderr1,st_raderr2,st_radlim,st_radsymerr,toi_created,rowupdate,hour_angle_at_19,hour_angle_at_22,alt_at_19,alt_at_22,az_at_19,az_at_22
761,762,1651.01,1651,138168780,138168780.0,1,KP,06h19m10.31s,94.792955,,,+73d49m39.24s,73.827567,,,-16.643,0.055,-0.055,0.0,1.0,-22.593,0.111,-0.111,0.0,1.0,2460474.182,0.000102,-0.000102,0,1,3.7649949,4e-07,-4e-07,0,1,2.642,0.017,-0.017,0,1,14735.0,72.808,-72.808,0,1,17.8182,0.731822,-0.731822,0,1,580.386,,,,,1367.0,,,,,9.88278,0.006,-0.006,0,1,235.479,2.418,-2.418,0,1,6724.0,164.0,-164.0,0,1,4.29,0.09,-0.09,0,1,1.42,0.06,-0.06,0,1,2020/1/29 22:18,2024/8/29 10:08,190.207045,235.207045,19.04629251313917,24.878103324694983,2.4525273932219385,12.047753587763745
814,815,1696.01,1696,470381900,470381900.0,1,CP,04h21m07.36s,65.280648,,,+48d49m11.39s,48.819831,,,12.93,0.127,-0.127,0.0,1.0,-19.178,0.078,-0.078,0.0,1.0,2459911.832,0.00212,-0.00212,0,1,2.5005291,0.0003706,-0.0003706,0,1,0.8809865,0.3441977,-0.3441977,0,1,12579.35048,1583.843,-1583.843,0,1,3.1713853,1.1981618,-1.1981618,0,1,13.8080731,,,,,491.6465759,,,,,13.9664,0.007,-0.007,0,1,64.9172,0.35625,-0.35625,0,1,3181.0,157.0,-157.0,0,1,4.94798,0.0080613,-0.0080613,0,1,0.280475,0.0085728,-0.0085728,0,1,2020/1/30 21:16,2023/3/6 16:02,219.71935200000001,264.719352,0.9646932651531567,22.46129270593071,20.80650354948887,39.50969793500257
928,929,1780.01,1780,99834717,99834717.01,1,KP,11h00m40.13s,165.167198,,,+64d57m49.84s,64.963845,,,-22.389,0.044,-0.044,0.0,1.0,-32.425,0.046,-0.046,0.0,1.0,2459632.745,0.000366,-0.000366,0,1,1.7063264,1.1e-06,-1.1e-06,0,1,1.359,0.056,-0.056,0,1,10980.0,1.80935,-1.80935,0,1,10.1999,0.689338,-0.689338,0,1,235.772,,,,,1091.0,,,,,12.212,0.007,-0.007,0,1,262.706,2.595,-2.595,0,1,4974.0,130.639,-130.639,0,1,4.44059,0.0931488,-0.0931488,0,1,0.9,0.06,-0.06,0,1,2020/3/12 15:35,2022/6/30 10:10,119.83280199999999,164.832802,20.318106411143926,10.66707950585611,340.78746164633566,354.693335895666
968,969,1810.01,1810,373693175,373693175.0,1,KP,12h33m03.89s,188.266205,,,+44d54m55.32s,44.915367,,,-11.641,0.028,-0.028,0.0,1.0,8.065,0.034,-0.034,0.0,1.0,2459662.702,0.000185,-0.000185,0,1,1.3273482,6e-07,-6e-07,0,1,2.083,0.065,-0.065,0,1,18850.0,0.448136,-0.448136,0,1,15.4709,0.750927,-0.750927,0,1,1378.13,,,,,1697.0,,,,,11.6281,0.006,-0.006,0,1,294.419,2.252,-2.252,0,1,5555.05,115.611,-115.611,0,1,4.36832,0.075107,-0.075107,0,1,1.07,0.05,-0.05,0,1,2020/4/15 12:38,2022/7/14 10:10,96.73379499999999,141.733795,19.691875000007855,-2.892780597586461,317.37789442506534,338.1797176137856
1049,1050,1877.01,1877,233497719,233497719.0,1,APC,16h38m04.8s,249.519983,,,+77d45m23.04s,77.756401,,,-4.924,0.023,-0.023,0.0,1.0,39.626,0.03,-0.03,0.0,1.0,2459766.146,0.000343,-0.000343,0,1,3.801591,1.9e-06,-1.9e-06,0,1,2.752,0.04,-0.04,0,1,18950.0,0.984908,-0.984908,0,1,14.4297,0.657427,-0.657427,0,1,395.697,,,,,1242.0,,,,,12.8746,0.008,-0.008,0,1,565.519,4.5015,-4.5015,0,1,6051.0,127.3,-127.3,0,1,4.48,0.08,-0.08,0,1,1.01,0.05,-0.05,0,1,2020/5/29 16:35,2022/10/5 10:10,35.480017000000004,80.480017,44.58693492300206,36.10462295896316,351.82039905351826,347.6181181074196
1071,1072,1897.01,1897,420645189,420645189.0,1,FP,03h13m28.9s,48.370422,,,+75d16m06.16s,75.268379,,,48.29,0.042,-0.042,0.0,1.0,14.617,0.056,-0.056,0.0,1.0,2459001.0,0.000253,-0.000253,0,1,48.5340395,0.0003159,-0.0003159,0,1,6.661,0.033,-0.033,0,1,62170.0,0.995212,-0.995212,0,1,26.827,1.24227,-1.24227,0,1,0.0730269,,,,,144.0,,,,,10.1374,0.006,-0.006,0,1,158.493,0.8355,-0.8355,0,1,5937.0,142.24,-142.24,0,1,4.44855,0.0775541,-0.0775541,0,1,1.03,0.05,-0.05,0,1,2020/5/29 16:46,2024/9/18 10:08,236.629578,281.629578,26.11308537075843,36.63478482238816,11.276492360850236,14.974050113684633
1226,1227,2031.01,2031,470127886,470127886.0,1,PC,22h04m28.27s,331.117808,,,+81d33m57.42s,81.565951,,,25.719,0.035,-0.035,0.0,1.0,2.507,0.034,-0.034,0.0,1.0,2459886.046,0.000426,-0.000426,0,1,5.7156075,0.0001693,-0.0001693,0,1,4.0584797,0.0320224,-0.0320224,0,1,12240.92988,90.70415,-90.70415,0,1,13.6015651,0.5721648,-0.5721648,0,1,503.1185454,,,,,1207.917661,,,,,10.7609,0.036,-0.036,0,1,276.105,1.5315,-1.5315,0,1,6664.0,265.1,-265.1,0,1,4.44,0.09,-0.09,0,1,1.18444,0.0492463,-0.0492463,0,1,2020/6/19 7:20,2023/2/21 16:02,-46.117808000000025,-1.117808000000025,40.59106362940936,43.43224501067286,6.56918655883587,0.1849272848774781
1236,1237,2040.01,2040,427730490,427730490.0,1,PC,23h29m05.94s,352.27473,,,+71d30m23.31s,71.506474,,,44.853,0.042,-0.042,0.0,1.0,25.368,0.041,-0.041,0.0,1.0,2459740.365,0.00026,-0.00026,0,1,3.8608551,1.3e-06,-1.3e-06,0,1,2.571,0.03,-0.03,0,1,14670.0,0.625001,-0.625001,0,1,11.2224,0.679003,-0.679003,0,1,163.361,,,,,995.0,,,,,10.8407,0.006,-0.006,0,1,144.717,0.492,-0.492,0,1,5019.0,166.0,-166.0,0,1,4.43,0.09,-0.09,0,1,0.92,0.06,-0.06,0,1,2020/6/19 7:20,2022/12/12 16:02,-67.27472999999998,-22.274729999999977,40.11572139323159,51.66523111260301,18.73652776387839,9.194060216376357
1242,1243,2046.01,2046,468574941,468574941.0,1,CP,01h04m44.39s,16.184942,,,+74d19m52.7s,74.331306,,,6.293,0.04,-0.04,0.0,1.0,-9.958,0.041,-0.041,0.0,1.0,2459882.348,0.000196,-0.000196,0,1,1.4971447,1.81e-05,-1.81e-05,0,1,2.4024159,0.0149419,-0.0149419,0,1,16266.2492,71.29483,-71.29483,0,1,16.2528494,0.7567245,-0.7567245,0,1,2643.654975,,,,,1828.819919,,,,,10.996,0.006,-0.006,0,1,289.668,2.208,-2.208,0,1,6081.0,137.7,-137.7,0,1,4.31,0.08,-0.08,0,1,1.2431901,0.0575628,-0.0575628,0,1,2020/6/19 7:20,2023/2/21 16:02,268.815058,313.815058,33.20847719019148,44.86414800266661,15.60523132568615,13.184085455855657
1243,1244,2047.01,2047,363761216,363761216.0,1,FP,00h23m28.12s,5.867146,,,+71d09m31.71s,71.158807,,,-6.964,0.085,-0.085,0.0,1.0,-1.662,0.072,-0.072,0.0,1.0,2460444.428,0.00032,-0.00032,0,1,7.4072589,2.5e-06,-2.5e-06,0,1,2.454,0.021,-0.021,0,1,14866.0,114.666,-114.666,0,1,14.4456,0.734302,-0.734302,0,1,75.7231,,,,,821.0,,,,,10.4708,0.006,-0.006,0,1,196.538,1.9575,-1.9575,0,1,5887.0,183.3,-183.3,0,1,4.35,0.08,-0.08,0,1,1.14,0.06,-0.06,0,1,2020/6/19 7:20,2024/8/6 10:08,279.132854,324.132854,35.791116004116745,49.21987404964957,19.299486909079295,13.924893975151576
